#,PRODUCT,CURRENT QTY,GOAL QTY,HOUSE PRICE,SELLING PRICE,GOAL VALUE (selling),TIER,,
53,SEPARADOR M2,32,30,60,75,"2,250",Flagship – go deep,ya,
51,SEPARADOR S2,16,30,40,50,"1,500",Flagship – go deep,ya,
52,SEPARADOR M1,40,30,40,50,"1,500",Flagship – go deep,ya,
50,SEPARADOR S1,22,30,20,25,750,Flagship – go deep,ya,
61,POCIÓN 4,1,1,300,375,375,Impulse – deep,ya,
60,POCIÓN 3,12,12,250,313,"3,750",Impulse – deep,ya,
59,POCIÓN 2,,10,200,250,"2,500",Impulse – deep,,
58,POCIÓN 1,,18,150,188,"3,375",Impulse – deep,,
31,MONEDERO,8,30,150,188,"5,625",Impulse – deep,,
40,COLLAR,9,9,50,63,563,Impulse – deep,ya,
49,STICKER FOIL,40,25,50,63,"1,563",Impulse – deep,ya,
39,DIJE,,20,30,38,750,Impulse – deep,,
41,JABÓN,21,20,20,25,500,Impulse – deep,ya,
74,MISTERY SCROLL,47,47,10,13,588,Impulse – deep,,
75,GEM RUNE,10,25,10,13,313,Impulse – deep,,
76,STICKER RUNA,29,30,3,4,113,Impulse – deep,ya,
36,BOLSA,2,2,600,750,"1,500",Mid – moderate,ya,
48,LIBRETA 7,,2,550,688,"1,375",Mid – moderate,,
47,LIBRETA 6,,2,500,625,"1,250",Mid – moderate,,
89,WALLET,,4,450,563,"2,250",Mid – moderate,,
46,LIBRETA 5,,3,400,500,"1,500",Mid – moderate,,
65,BRAZALETE 3,,3,400,500,"1,500",Mid – moderate,,
81,BOTTLE HOLDER,,3,400,500,"1,500",Mid – moderate,,
45,LIBRETA 4,,3,350,438,"1,313",Mid – moderate,,
68,MUÑEQUERA 2,,3,350,438,"1,313",Mid – moderate,,
44,LIBRETA 3,,5,300,375,"1,875",Mid – moderate,,
64,BRAZALETE PAR 2,,4,300,375,"1,500",Mid – moderate,,
63,BRAZALETE PAR 1,,5,250,313,"1,563",Mid – moderate,,
82,DICE TOWER,6,6,250,313,"1,875",Mid – moderate,ya,laser
84,DICE + POUCH,,5,250,313,"1,563",Mid – moderate,,
34,VELA L,11,5,200,250,"1,250",Mid – moderate,ya,
37,BROCHE,6,10,200,250,"2,500",Mid – moderate,,
43,LIBRETA 2,,6,200,250,"1,500",Mid – moderate,,
67,MUÑEQUERA 1,,5,200,250,"1,250",Mid – moderate,,
87,D&D MINI PACK,,5,200,250,"1,250",Mid – moderate,,
38,CATNIP,17,12,150,188,"2,250",Mid – moderate,ya,
42,LIBRETA 1,,8,150,188,"1,500",Mid – moderate,,
79,LEATHER KEYCHAIN,12,12,150,188,"2,250",Mid – moderate,ya,laser
80,ARETES,11,15,150,188,"2,813",Mid – moderate,,laser
83,MYSTERY DICES,21,22,150,188,"4,125",Mid – moderate,ya,
85,PUPPET,,4,150,188,750,Mid – moderate,,cameo
29,LLAVERO,14,18,100,125,"2,250",Mid – moderate,,laser
33,VELA M,24,10,100,125,"1,250",Mid – moderate,ya,
69,PULSERA,,15,100,125,"1,875",Mid – moderate,,craft
30,CHARM,,18,90,113,"2,025",Mid – moderate,,laser
32,VELA S,11,15,70,88,"1,313",Mid – moderate,ya,
86,D&D MINI,,10,60,75,750,Mid – moderate,,laser
71,ARMADURA 2,1,1,"6,000","7,500","7,500",Hero – exhibition,ya,
70,ARMADURA 1,1,1,"2,500","3,125","3,125",Hero – exhibition,ya,
57,CAPA 4,2,1,"2,000","2,500","2,500",Hero – exhibition,ya,
66,BRAZALETE 4,1,1,"2,000","2,500","2,500",Hero – exhibition,ya,
56,CAPA 3,2,1,"1,600","2,000","2,000",Hero – exhibition,ya,
72,HACHA,1,2,"1,500","1,875","3,750",Hero – exhibition,,craft
73,ELVEN ATIRE,2,2,"1,500","1,875","3,750",Hero – exhibition,ya,
55,CAPA 2,2,2,"1,200","1,500","3,000",Hero – exhibition,ya,
54,CAPA 1,1,2,800,"1,000","2,000",Hero – exhibition,ya,
78,PAÑALES PACK ECO,6,6,700,875,"5,250",Off-theme – minimal,ya,
77,PAÑAL ECO,15,15,150,188,"2,813",Off-theme – minimal,ya,
88,CABLE FISH,0,0,60,75,0,Off-theme – minimal,ya,laser
35,VENTOSA CEL,80,80,30,38,"3,000",Off-theme – minimal,ya,
62,BOLSAS POPO,8,8,30,38,300,Off-theme – minimal,ya,
,TOTAL,,729,,,"120,275",,,
