sku,product,variant,tier,machine,cost_material,cost_machine,cost_labor,cost_consumable,cost_packaging,house_price,selling_price,current_qty,goal_qty,made,packed_qty,production_minutes,restock_threshold,active,notes,unit_cost,margin_unit,margin_pct,to_make,goal_value,goal_profit
53,SEPARADOR M2,,Flagship – go deep,laser,12.00,3.00,20.00,1.00,4.00,60.00,75.00,32,0,,0,8,,yes,,40.00,35.00,46.7,0,0.00,
51,SEPARADOR S2,,Flagship – go deep,,0.00,0.00,0.00,0.00,0.00,40.00,50.00,16,0,,0,,,yes,,0.00,,,0,0.00,
52,SEPARADOR M1,,Flagship – go deep,,0.00,0.00,0.00,0.00,0.00,40.00,50.00,40,0,,0,,,yes,,0.00,,,0,0.00,
50,SEPARADOR S1,,Flagship – go deep,,0.00,0.00,0.00,0.00,0.00,20.00,25.00,22,0,,0,,,yes,,0.00,,,0,0.00,
61,POCIÓN 4,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,300.00,375.00,1,0,,0,,,yes,,0.00,,,0,0.00,
60,POCIÓN 3,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,250.00,313.00,12,0,,0,,,yes,,0.00,,,0,0.00,
59,POCIÓN 2,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,200.00,250.00,0,0,,0,,,yes,,0.00,,,0,0.00,
58,POCIÓN 1,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,150.00,188.00,0,0,,0,,,yes,,0.00,,,0,0.00,
31,MONEDERO,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,150.00,188.00,8,0,,0,,,yes,,0.00,,,0,0.00,
40,COLLAR,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,50.00,63.00,9,0,,0,,,yes,,0.00,,,0,0.00,
49,STICKER FOIL,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,50.00,63.00,40,0,,0,,,yes,,0.00,,,0,0.00,
39,DIJE,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,30.00,38.00,0,0,,0,,,yes,,0.00,,,0,0.00,
41,JABÓN,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,20.00,25.00,21,0,,0,,,yes,,0.00,,,0,0.00,
74,MISTERY SCROLL,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,10.00,13.00,47,0,,0,,,yes,,0.00,,,0,0.00,
75,GEM RUNE,,Impulse – deep,,0.00,0.00,0.00,0.00,0.00,10.00,13.00,10,0,,0,,,yes,,0.00,,,0,0.00,
